country,continent,population,day,time,Cases,Recovered,Deaths,Tests
Saint-Helena,Africa,6115,6/30/2024,2024-06-30T16:15:16+00:00,2166,2,0,8632
Falkland-Islands,South-America,3539,6/30/2024,2024-06-30T16:15:16+00:00,1930,1930,0,8632
Montserrat,North-America,4965,6/30/2024,2024-06-30T16:15:16+00:00,1403,1376,0,17762
Diamond-Princess,North-America,4965,6/30/2024,2024-06-30T16:15:16+00:00,712,699,0,17762
Vatican-City,Europe,799,6/30/2024,2024-06-30T16:15:16+00:00,29,29,0,17762
Western-Sahara,Africa,626161,6/30/2024,2024-06-30T16:15:16+00:00,10,9,0,17762
MS-Zaandam,Africa,626161,6/30/2024,2024-06-30T16:15:16+00:00,9,7,0,17762
China,Asia,1448471400,6/30/2024,2024-06-30T16:15:16+00:00,503302,379053,0,17762
Tokelau,Oceania,1378,6/30/2024,2024-06-30T16:15:16+00:00,80,379053,0,25400
Saint-Pierre-Miquelon,North-America,5759,6/30/2024,2024-06-30T16:15:16+00:00,3452,2449,0,25400
Tuvalu,Oceania,12066,6/30/2024,2024-06-30T16:15:16+00:00,2943,2449,0,25400
Niue,Oceania,1622,6/30/2024,2024-06-30T16:15:16+00:00,1059,1056,0,25400
Nicaragua,North-America,6779100,6/30/2024,2024-06-30T16:15:15+00:00,18491,4225,1,25400
Tajikistan,Asia,9957464,6/30/2024,2024-06-30T16:15:15+00:00,17786,17264,1,25400
Djibouti,Africa,1016097,6/30/2024,2024-06-30T16:15:15+00:00,15690,15427,1,305941
Greenland,North-America,56973,6/30/2024,2024-06-30T16:15:15+00:00,11971,2761,1,164926
Eritrea,Africa,3662244,6/30/2024,2024-06-30T16:15:15+00:00,10189,10086,1,23693
Niger,Africa,26083660,6/30/2024,2024-06-30T16:15:15+00:00,9931,8890,1,254538
Equatorial-Guinea,Africa,1496662,6/30/2024,2024-06-30T16:15:15+00:00,17229,16907,1,365697
Liberia,Africa,5305117,6/30/2024,2024-06-30T16:15:15+00:00,8090,7783,1,139824
Nauru,Oceania,10903,6/30/2024,2024-06-30T16:15:15+00:00,5393,5347,1,20509
Caribbean-Netherlands,North-America,26647,6/30/2024,2024-06-30T16:15:15+00:00,11682,10476,1,30126
Bermuda,North-America,61939,6/30/2024,2024-06-30T16:15:15+00:00,18860,18685,1,1029558
Gambia,Africa,2558482,6/30/2024,2024-06-30T16:15:15+00:00,12626,12189,1,155686
Grenada,North-America,113475,6/30/2024,2024-06-30T16:15:15+00:00,19693,19358,1,182981
Comoros,Africa,907419,6/30/2024,2024-06-30T16:15:15+00:00,9109,8939,1,182981
Guinea-Bissau,Africa,2063367,6/30/2024,2024-06-30T16:15:15+00:00,9614,8929,1,145231
Chad,Africa,17413580,6/30/2024,2024-06-30T16:15:15+00:00,7701,4874,1,191341
Vanuatu,Oceania,321832,6/30/2024,2024-06-30T16:15:15+00:00,12019,11976,1,24976
Sint-Maarten,North-America,43966,6/30/2024,2024-06-30T16:15:15+00:00,11051,10905,0,62056
Wallis-and-Futuna,Oceania,10982,6/30/2024,2024-06-30T16:15:15+00:00,3550,438,0,20508
St-Barth,North-America,9945,6/30/2024,2024-06-30T16:15:15+00:00,5507,438,0,78646
Saint-Kitts-and-Nevis,North-America,53871,6/30/2024,2024-06-30T16:15:15+00:00,6607,6559,0,126958
Timor-Leste,Asia,1369429,6/30/2024,2024-06-30T16:15:15+00:00,23460,23102,1,278529
Kiribati,Oceania,123419,6/30/2024,2024-06-30T16:15:15+00:00,5085,2703,1,278529
Burkina-Faso,Africa,22102838,6/30/2024,2024-06-30T16:15:15+00:00,22114,21596,1,248995
Liechtenstein,Europe,38387,6/30/2024,2024-06-30T16:15:15+00:00,21574,21596,1,112457
Gibraltar,Europe,33704,6/30/2024,2024-06-30T16:15:15+00:00,20550,21596,1,534283
South-Sudan,Africa,11618511,6/30/2024,2024-06-30T16:15:15+00:00,18819,18115,1,410280
Monaco,Europe,39783,6/30/2024,2024-06-30T16:15:15+00:00,17181,18115,1,78646
